,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
A 2 Z Waste Mgmt. (Jaipur) Ltd.,,,,,,,,,,,,,,,,,,,,,,0.05,,-0.31,,,61.6,0.01,0.06,,,0.44,-8050,-0.23,,-39.14,46.2,0,0.16,,,0.58,,0.03,,-55.27,35.1,0,0.14,,,0.62,,0.03,,-84.18,32.5,0,0.12,,,0.57,,0.25,,-127.17,22.9,0,0.15,,,0.74,-1211.11,0.07,,-744,17.8,0,0.14,,,0,,0.04,,,16.1,0.13,0.13,,,0,,0.04,,,14.4,0.12,0.12,,,0,,0.04,,,14.4,0.12,0.12,,No,,
A 2 Z Waste Mgmt. (Merrut) Ltd.,2.5,0.05,-69.7,0.1,,-63.89,56.5,0.08,0.09,,59.6,0.32,-15.89,-0.39,,-6.11,451.3,0.84,0.85,,23.7,0.36,-53.02,-0.21,,-3.58,536.7,0.75,0.76,37.76,3.9,0.35,-143.08,-0.03,-150,-1.7,591,0.67,0.67,,4.6,0.4,-57.64,0.05,,-5.57,617.8,0.36,0.5,,,0.42,-120.75,0,,-7.25,620.2,0.33,0.44,123.07,,0.34,-96.09,0.19,,-6.79,487.8,0.6,0.85,,,0.45,-753.41,0,,-10.62,372.3,0.61,0.86,,,0.52,-134.19,0,,-8.79,324.3,0.55,0.86,,,0.54,-69.33,-0.02,,-4.9,329.5,0.55,0.84,,,0.54,-69.33,-0.02,,-4.9,329.5,0.55,0.84,,No,,
A 2 Z Waste Mgmt. (Moradabad) Ltd.,4.3,0.4,-16.67,0.14,,-1.26,162.7,0.27,0.28,,58.9,0.03,-1.99,0.2,,-0.54,387.7,0.15,0.16,,36,0.08,-36.23,-0.11,-37.06,-3.69,502.9,0.29,0.41,4.54,13.8,0.1,-309.68,-0.05,-101.23,-12.57,489.9,0.21,0.38,14.16,21,0.09,-171.47,0.04,,-13.55,443.6,0.14,0.29,,4.2,0.11,-487.5,0,,-19.07,415.5,0.13,0.25,,,0.12,-485.38,-0.01,,-22.36,389.1,0.12,0.23,,,0.12,-758.54,0.02,,-23.6,355.5,0.16,0.32,,,0.13,-571.05,0.02,,-18.65,331.4,0.15,0.3,,,0.13,-743.64,0.01,,-19.29,315.1,0.14,0.28,,,0.13,-743.64,0.01,,-19.29,315.1,0.14,0.28,,No,,
A 2 Z Waste Mgmt. (Nainital) Pvt. Ltd.,,0,0,0,,,0.1,,,0,0.1,0,-400,0.91,,,8.1,0.95,0.95,,2.5,0.87,0,-0.87,0,0,73.5,0.07,0.07,8.5,8.3,0.75,-1.48,-0.21,-2.64,-0.32,115.8,0.18,0.18,6.57,1.3,0.71,1.46,-0.02,1.37,0.17,126.8,0.24,0.24,7.85,,0.68,1.45,0,2.9,0.16,137,0.31,0.31,,,0.21,-1.65,1.18,,-0.23,66.7,0.86,0.86,,,0.21,-23.08,0,,-0.78,66.5,0.85,0.85,,,0.21,-28,0,,-1.34,66.5,0.85,0.99,,,0.21,-6.67,0,,-0.76,66.9,0.84,1.05,,,0.21,-6.67,0,,-0.76,66.9,0.84,1.05,,No,,
A 2 Z Waste Mgmt. (Ranchi) Ltd.,,0,,0.93,,,6.1,0.09,0.09,,79.3,0.01,-39.01,-0.01,,-24.58,364.6,4.17,4.18,,157.1,0.4,8.22,-0.48,93.51,3.63,529.6,0.73,0.76,5.75,105.2,0.44,1.6,-0.03,2.4,0.38,639.5,0.49,0.64,6.14,15.6,0.46,-11.48,0.03,-10.55,-1.41,599,0.38,0.51,6.91,,0.48,-72.43,0,-98.17,-5.45,598.1,0.32,0.42,,,0.38,-12.29,0.23,,-1.3,472.7,0.27,0.35,,,0.48,-491.71,-0.17,-5448.65,-6.18,380,1.04,1.35,0.97,,0.58,-87.01,0,-12.66,-6.87,307.3,0.94,1.44,0.69,,0.59,-19.33,0,-2.04,-1.19,302.7,0.95,1.45,0.74,,0.59,-19.33,0,-2.04,-1.19,302.7,0.95,1.45,0.74,No,,
A 2 Z Waste Mgmt. (Sambhal) Ltd.,,0.08,,-0.05,,,8.3,0.74,0.74,0,,0.01,-25,0.12,,-0.3,90.2,1.44,1.44,,,0.24,,-0.22,-1.26,-0.11,120.8,0.16,0.16,5.7,,0.25,0,0.03,0,0,142.8,0.24,0.31,8.34,,0.26,-43.8,0.06,-57.3,-4.49,136.4,0.12,0.18,19.84,,0.26,-171.05,0,-276.6,-5.55,139,0.12,0.17,,,0.22,-43.14,0,,-1.82,142.5,0.17,0.17,,,0.08,-5800,0.57,-143.21,-19.57,88.3,0.27,0.27,0.44,,0.08,-300,0,-2.38,-1.64,88.5,0.28,0.36,0.47,,0.08,-266.67,0,-2.16,-1.46,88.7,0.28,0.37,0.49,,0.08,-266.67,0,-2.16,-1.46,88.7,0.28,0.37,0.49,No,,
A 2 Z Waste Mgmt. (Varanasi) Ltd.,2,0.3,-63.79,0.22,,-3.36,313.2,0.04,0.05,,84,0.02,-23.38,0.19,,-5.84,678.1,0.08,0.08,,81,0.02,3.65,-0.06,3.09,0.31,991.2,0.23,0.23,2.93,22,0.13,-12.02,-0.05,-1.2,-0.31,1128.8,0.08,0.2,3.13,28.3,0.14,-298.26,0.02,-48.11,-9.12,1096.8,0.06,0.15,6.5,,0.14,-365.58,0.01,,-13.11,1064.4,0.05,0.13,,,0.08,-408.46,0,,-17.05,1037.1,0.13,0.13,,,0.11,-1533.73,0.01,,-19.7,708.9,0.17,0.17,,,0.22,-212.5,0.03,,-13.94,689.3,0.07,0.17,,,0.22,-1975,0.02,,-11.62,688.4,0.07,0.16,,,0.22,-1975,0.02,,-11.62,688.4,0.07,0.16,,No,,
A 2 Z Waste Mgmt. Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.1,,,0,,0,0,0,0,0,0.1,,,0,,0,0,0,0,0,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A A A Steel & Energy (India) Ltd.,0.4,0.92,0,0,0,0,68.8,0.68,1.21,0.04,,0.51,0,0,0,0,72.3,0.41,0.62,0.1,,0.51,0,0,0,0,72.3,0.41,0.62,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A A Doshi Share & Stock Brokers Ltd.,,0.05,-1.45,0,-0.2,-0.2,43.9,23.19,25.81,0.03,,0.05,-1.45,0,-0.2,-0.2,43.9,23.19,25.81,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A A Infraproperties Pvt. Ltd.,,,,,,,,,,,,0.73,20.66,0,,,1435.9,4.04,4.04,3.66,,0.73,17.16,-0.04,9.06,1.87,1702,3.67,3.67,3.99,,0.76,12.62,0.01,8.99,1.63,2250.3,3.4,3.4,5,1.7,0.78,9.91,0,12.14,1.31,2602.7,3.09,3.09,18.89,2,0.78,8.66,0,21.62,1.19,2718.5,2.82,2.82,15.85,,0.16,11.12,0,12.62,1.33,540.1,0.82,0.82,1.95,,0.64,20.84,-0.01,5.52,0.94,1392.6,1,1,6.91,,0.82,13.58,0,20.31,1.49,4038.7,1.04,1.05,17.61,,0.91,-4.41,-0.01,-13.69,-0.56,5407.1,0,0,29.99,,0.91,-4.41,-0.01,-13.69,-0.56,5407.1,0,0,29.99,No,,
A A P Infrastructure Ltd.,100.7,0.03,13.8,-0.27,9.67,2.48,693.9,0.76,0.76,3.46,138.5,0.04,11.67,0.27,10.3,2.55,642.9,0.87,0.87,2.66,157.1,0.03,8.18,0.22,7.5,2.17,618,0.81,0.81,2.28,174,0.03,10.51,0.25,9.69,3.2,585.3,0.77,0.77,1.8,192.4,0.02,9.16,0.25,8.52,3.51,525,0.41,0.41,1.26,229.2,0.04,6.79,0.43,6.91,3.37,471.8,0.93,0.93,0.85,134.6,0.04,-0.88,0,-0.5,-0.29,402,0.05,0.05,0.58,3.4,0.64,-9524.39,0.65,-929.76,-18.17,29.9,0.04,0.04,,,0.22,-9600,-0.06,,,28.6,0.14,0.14,,,0.92,-2000,0,,,28.6,0.04,0.04,,,0.67,,-2.94,,,27.2,0.68,0.68,,No,,
A A R Commercial Co. Ltd.,,0.15,0,-0.02,0,0,530.8,0.13,2.12,0,,0.28,-89.74,-0.11,-0.73,-0.73,500.9,1.71,9.29,0,,0.07,-62.5,-0.06,-0.1,-0.1,497.4,3.55,4.26,0,20.2,0.04,7.73,0,0.35,0.34,528.6,0.36,0.85,0.05,27.5,0.34,4.64,0.02,0.43,0.41,545.1,0.48,0.64,0.04,16.5,0.44,6.47,-0.02,0.27,0.26,513.9,0.85,1.03,0,6.9,0.01,27.18,0.15,0.58,0.57,1521.1,0.3,0.88,0.02,,0.01,58.62,-0.19,0.25,0.22,1231.8,37,83,0,,0,63.28,0.07,0.93,0.93,1667.9,556.33,565,0,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Aug-18
