Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log_assets,Log_sales
3I Infotech Consultancy Services Ltd.,2012,1.48,0.32,0.69,2.41,0.06,1.32,1.42,1.1,2.07,1.28,1.56,2.65,7.99,1.18,-38.65,0,6.189700462716007,6.286370464649083
3I Infotech Consultancy Services Ltd.,2013,1.5,0.35,0.66,2.76,0.07,1.2,1.65,0.71,-0.58,1.5,1.2,2.01,3.5,0.99,14.97,0,6.045715961939898,6.425840998710567
3I Infotech Consultancy Services Ltd.,2014,1.44,0.38,0.82,2.74,0.02,1.73,1.57,1.96,2.14,1.21,3.14,5.47,6.75,2.7,-1.83,0,6.160363083569796,6.407374913077685
3I Infotech Consultancy Services Ltd.,2015,1.39,0.31,0.74,2.88,-0.57,0.99,1.61,-0.17,0.53,1.39,-0.28,-0.49,4.97,-0.22,5.9,0,6.282827337399335,6.464744054800002
3I Infotech Consultancy Services Ltd.,2016,3.3,0.31,0.71,2.21,0.0,1.08,1.28,0.22,0.39,3.3,0.28,0.48,5.07,0.21,-20.82,0,6.274950327428353,6.231268539315299
3I Infotech Consultancy Services Ltd.,2017,3.16,0.33,0.77,1.55,0.0,0.71,0.89,-3.95,-4.21,3.15,-3.55,-6.17,5.9,-2.66,-31.35,0,6.240665632741481,5.855071922202427
3I Infotech Consultancy Services Ltd.,2018,3.93,0.0,0.0,2.24,0.0,0.71,1.63,1.71,1.73,3.92,2.8,3.85,1.58,2.01,41.83,0,5.802420444553201,6.20455776256869
3I Infotech Consultancy Services Ltd.,2019,4.62,0.0,0.0,2.56,0.0,0.71,2.56,2.09,2.52,4.57,5.36,5.36,2.52,3.7,19.6,0,5.8239330757866625,6.3835066348840055
3I Infotech Consultancy Services Ltd.,2020,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,5.91350300563827,6.4454023086669245
3I Infotech Consultancy Services Ltd.,2021,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,5.91350300563827,6.4454023086669245
63 Moons Technologies Ltd.,2000,6.68,0.0,0.0,0.73,0.04,,0.73,29.87,33.16,6.68,23.59,23.59,46.04,21.74,8142.86,0,6.243195555274104,5.153869462182164
63 Moons Technologies Ltd.,2001,3.51,0.0,0.0,0.16,-0.18,,0.16,-94.17,-86.09,3.51,-25.11,-25.16,-163.52,-21.83,-63.26,0,6.024173721517687,4.152613470346076
63 Moons Technologies Ltd.,2002,3.37,0.06,0.08,0.51,-0.15,6.43,0.49,2.58,15.44,3.37,1.35,1.39,7.12,1.09,118.55,0,5.65704021210407,4.9344739331306915
63 Moons Technologies Ltd.,2003,1.45,0.0,0.0,0.69,0.03,91.5,0.68,45.18,47.45,1.45,30.98,31.65,57.64,26.94,93.09,0,6.437271534499525,5.592478405097527
63 Moons Technologies Ltd.,2004,1.52,0.0,0.0,0.33,0.08,203.39333333333332,0.33,29.66,38.17,1.52,10.2,10.2,44.09,9.19,19.41,0,7.336676463126643,5.7698822763607245
63 Moons Technologies Ltd.,2005,0.37,0.0,0.0,0.63,0.24,315.28666666666663,0.63,47.48,58.42,0.37,32.2,32.2,63.51,26.22,183.62,0,7.611397196634724,6.812345094177479
63 Moons Technologies Ltd.,2006,4.49,0.61,2.19,0.59,0.02,427.18,0.26,55.18,64.88,4.49,25.88,58.03,40.26,22.21,12.53,0,8.869791838534347,6.930397009462962
63 Moons Technologies Ltd.,2007,9.91,0.2,0.27,0.17,-0.12,114.59,0.11,70.94,91.62,9.91,76.84,115.26,35.05,70.84,39.95,0,9.904786708267748,7.266478124538169
63 Moons Technologies Ltd.,2008,7.41,0.19,0.27,0.23,0.04,3321.71,0.18,50.93,65.51,7.41,17.95,22.8,52.09,16.55,152.58,0,10.093198407761937,8.193040753468544
63 Moons Technologies Ltd.,2009,4.63,0.15,0.2,0.18,0.04,22206.0,0.14,52.4,68.34,4.63,14.76,18.17,48.52,13.38,-8.03,0,10.21094284008685,8.109285101656933
63 Moons Technologies Ltd.,2010,1.41,0.15,0.2,0.17,-0.02,374.2,0.15,46.21,21.02,1.4,9.46,11.33,45.56,8.46,7.56,0,10.230053743037875,8.182195866577699
63 Moons Technologies Ltd.,2011,6.5,0.17,0.24,0.19,0.1,21.13,0.16,56.17,59.54,6.48,17.96,21.86,57.6,16.29,18.98,0,10.381288825979704,8.355967542917016
63 Moons Technologies Ltd.,2012,5.62,0.17,0.22,0.18,0.09,13.41,0.15,47.42,60.95,5.61,9.79,12.04,57.71,8.96,5.95,0,10.49129366169365,8.413808500308662
63 Moons Technologies Ltd.,2013,3.48,0.14,0.19,0.13,0.02,11.67,0.11,-38.1,-29.15,3.44,-7.63,-9.22,35.71,-6.91,-25.77,0,10.36904066792066,8.115849578267243
63 Moons Technologies Ltd.,2014,12.89,0.14,0.17,0.06,-0.06,9.93,0.05,8.21,26.48,12.77,4.34,5.14,-56.71,4.02,-51.89,0,10.444342741503798,7.38417577602395
63 Moons Technologies Ltd.,2015,7.83,0.15,0.18,0.05,-0.05,20.16,0.05,38.28,18.94,7.7,10.08,11.89,-61.32,9.56,-6.23,0,10.450484051115174,7.31986492980897
63 Moons Technologies Ltd.,2016,1.4,0.14,0.17,0.06,-0.03,5.98,0.05,20.26,18.37,1.27,2.59,3.05,-38.91,2.46,6.1,0,10.464844680601267,7.379070547652669
63 Moons Technologies Ltd.,2017,6.96,0.03,0.04,0.08,-0.01,18.08,0.07,17.07,15.77,6.68,2.37,2.62,3.93,2.26,46.68,0,10.3470413230134,7.762128053041303
63 Moons Technologies Ltd.,2018,15.66,0.0,0.0,0.05,-0.04,6.14,0.05,3.3,3.53,14.82,0.35,0.35,-53.39,0.33,-34.6,0,10.308789313970617,7.337522679613266
63 Moons Technologies Ltd.,2019,14.47,0.0,0.0,0.05,-0.04,60.9,0.05,6.14,-37.7,13.68,0.65,0.65,-57.83,0.62,-3.34,0,10.268432703839387,7.303506694902662
63 Moons Technologies Ltd.,2020,11.2,0.0,0.0,0.06,-0.01,19.98,0.06,2.51,-23.48,10.67,0.21,0.21,-31.46,0.2,1.88,0,10.255418260362662,7.322114054260421
63 Moons Technologies Ltd.,2021,11.2,0.0,0.0,0.06,-0.01,19.98,0.06,2.51,-23.48,10.67,0.21,0.21,-31.46,0.2,1.88,0,10.255418260362662,7.322114054260421
A B M Knowledgeware Ltd.,2000,0.61,0.05,0.06,1.48,0.02,,1.42,12.66,15.53,0.6,18.29,19.14,18.09,16.25,,0,4.794963757620747,4.754451888703846
A B M Knowledgeware Ltd.,2001,4.27,0.17,0.22,1.05,-0.13,22.2,0.93,5.71,9.76,4.09,5.54,6.23,10.74,4.68,220.92,0,4.923623917106626,4.647271362006727
A B M Knowledgeware Ltd.,2002,3.46,0.06,0.08,0.83,0.06,18.85,0.72,3.05,6.43,3.45,2.27,2.6,12.3,2.03,-17.35,0,4.875960390769654,4.456670177669648
A B M Knowledgeware Ltd.,2003,3.55,0.1,0.14,0.57,-0.09,15.5,0.52,5.7,9.14,3.54,3.05,3.37,11.61,2.61,-35.03,0,4.808111029984782,4.02535169073515
A B M Knowledgeware Ltd.,2004,3.85,0.03,0.04,0.63,0.0,12.15,0.58,1.69,2.87,3.85,1.01,1.1,5.54,0.84,3.21,0,4.751000634199631,4.056988775678332
A B M Knowledgeware Ltd.,2005,6.66,0.08,0.09,0.58,-0.07,8.8,0.55,4.32,7.01,6.65,2.43,2.59,22.04,2.11,-6.57,0,4.71760561531788,3.9889840465642745
A B M Knowledgeware Ltd.,2006,1.52,0.05,0.08,1.97,0.08,43.0,1.81,6.21,10.5,1.52,11.39,12.38,14.91,8.27,253.89,0,5.183467524869095,5.252796851246227
A B M Knowledgeware Ltd.,2007,2.16,0.0,0.0,2.42,0.12,57.416666666666664,2.35,19.92,30.36,2.16,47.45,48.99,32.56,28.26,62.48,0,5.583872177983643,5.738183901373533
A B M Knowledgeware Ltd.,2008,1.77,0.0,0.0,2.45,0.41,71.83333333333333,2.45,13.17,20.01,1.77,32.81,32.81,19.25,17.38,42.38,0,6.028760331851679,6.091536100832197
A B M Knowledgeware Ltd.,2009,2.38,0.0,0.0,1.81,0.03,86.25,1.81,15.87,23.63,2.38,29.5,29.5,22.84,16.47,-4.55,0,6.038109554931026,6.045005314036012
A B M Knowledgeware Ltd.,2010,1.83,0.0,0.0,1.9,-0.13,1583.0,1.89,17.93,26.84,1.83,34.53,34.6,26.33,20.98,37.42,0,6.377746835799372,6.362855674882395
A B M Knowledgeware Ltd.,2011,2.66,0.0,0.0,2.44,0.08,2272.0,2.44,15.01,21.79,2.66,37.03,37.09,22.17,24.15,75.39,0,6.5391523356065395,6.924710719631551
A B M Knowledgeware Ltd.,2012,3.88,0.0,0.0,1.38,0.05,929.5,1.38,16.68,24.59,3.82,23.37,23.37,25.93,17.33,-26.83,0,6.633581556555148,6.612309815912522
A B M Knowledgeware Ltd.,2013,2.82,0.0,0.0,1.24,0.07,1050.5,1.24,17.44,26.38,2.82,22.0,22.0,26.2,16.34,8.84,0,6.906954958811368,6.697034247666484
A B M Knowledgeware Ltd.,2014,3.16,0.0,0.0,1.15,0.07,1171.5,1.15,18.39,28.46,3.16,21.49,21.49,29.46,15.93,11.99,0,7.029087564149662,6.810252697620898
A B M Knowledgeware Ltd.,2015,7.11,0.0,0.0,0.93,0.25,1292.5,0.93,19.86,30.12,7.11,18.8,18.8,31.84,15.6,-4.02,0,7.029087564149662,6.769182629118197
A B M Knowledgeware Ltd.,2016,2.21,0.0,0.0,0.93,0.08,1413.5,0.93,16.3,25.08,2.2,15.63,15.63,25.77,11.55,25.97,0,7.624716637641337,7.000060949766163
A B M Knowledgeware Ltd.,2017,3.11,0.0,0.0,0.51,-0.09,1413.5,0.51,19.4,25.98,2.98,10.29,10.29,27.38,7.14,-34.69,0,7.589133475942083,6.574099073620405
A B M Knowledgeware Ltd.,2018,6.48,0.0,0.0,0.42,0.24,1413.5,0.42,23.05,32.37,5.81,10.34,10.34,33.57,8.16,-10.26,0,7.532837728627953,6.465833633863357
A B M Knowledgeware Ltd.,2019,4.62,0.0,0.0,0.44,0.04,1413.5,0.44,20.22,24.99,4.09,9.46,9.46,23.69,7.8,11.98,0,7.638342742515928,6.5789733956449306
A B M Knowledgeware Ltd.,2020,4.82,0.0,0.0,0.49,0.13,1413.5,0.49,21.49,28.4,4.51,11.03,11.03,27.26,8.95,19.52,0,7.739141503765848,6.757281165627302
A B M Knowledgeware Ltd.,2021,4.82,0.0,0.0,0.49,0.13,1413.5,0.49,21.49,28.4,4.51,11.03,11.03,27.26,8.95,19.52,0,7.739141503765848,6.757281165627302
A D C C Infracon Pvt. Ltd.,2005,3.15,0.25,0.44,0.29,,2.07,0.22,,20.59,3.15,,,,,-18.98,0,,
A D C C Infracon Pvt. Ltd.,2006,4.11,0.24,0.39,0.13,,1.7233333333333332,0.09,,-124.81,4.11,,,,,-56.77,0,,
A D C C Infracon Pvt. Ltd.,2007,4.49,0.14,0.28,0.19,,1.3766666666666665,0.14,,-32.94,4.49,,,,,29.77,0,,
A D C C Infracon Pvt. Ltd.,2008,0.77,0.21,0.56,0.27,,1.03,0.19,,0.42,0.77,,,,,38.24,0,,
A D C C Infracon Pvt. Ltd.,2009,1.0,0.15,0.33,0.28,,1.31,0.2,,7.14,1.0,,,,,6.81,0,,
A D C C Infracon Pvt. Ltd.,2010,0.7,0.1,0.42,0.19,-0.02,1.26,0.14,4.46,4.02,0.7,0.81,1.11,13.1,0.44,-33.07,0,5.930652407711224,2.8213788864092133
A D C C Infracon Pvt. Ltd.,2011,48.43,0.19,0.42,0.11,0.14,1.1933333333333334,0.08,-14.91,-22.81,48.43,-1.33,-1.9,8.74,-0.73,-38.69,0,5.267858159063328,2.33214389523559
A D C C Infracon Pvt. Ltd.,2012,62.0,0.18,0.39,0.1,0.0,1.1266666666666667,0.07,-24.07,-36.11,61.81,-2.13,-2.99,-20.24,-1.92,-18.45,0,5.220896219579452,2.128231705849268
A D C C Infracon Pvt. Ltd.,2013,129.7,0.22,0.52,0.05,-0.06,1.06,0.04,-221.43,-230.95,129.2,-7.93,-11.52,-145.24,-7.19,-50.0,0,5.199049364889368,1.4350845252893227
A D C C Infracon Pvt. Ltd.,2014,129.7,0.22,0.52,0.05,-0.06,0.9933333333333334,0.04,-221.43,-230.95,129.2,-7.93,-11.52,-145.24,-7.19,-50.0,0,5.199049364889368,1.4350845252893227
A D C C Infracon Pvt. Ltd.,2015,65.85,0.39,1.115,0.89,0.09,0.9266666666666667,0.44999999999999996,-144.44,-115.5,65.6,-4.115,-6.06,-71.62,-3.7350000000000003,24.450000000000003,0,5.118592435601348,4.627909672957581
A D C C Infracon Pvt. Ltd.,2016,2.0,0.56,1.71,1.73,-0.46,0.86,0.86,-0.35,-0.05,2.0,-0.3,-0.6,2.0,-0.28,98.9,0,5.872117789475416,5.3003153692107094
A D C C Infracon Pvt. Ltd.,2017,1.64,0.47,2.06,4.96,-0.04,0.49,1.72,-1.9,-1.95,1.64,-3.27,-9.41,2.08,-2.62,173.35,0,6.137078895912954,6.3059102568289775
A D C C Infracon Pvt. Ltd.,2018,1.09,0.3,0.89,2.09,0.41,0.81,0.84,-1.92,-1.87,0.76,-1.64,-4.07,7.09,-1.13,-60.61,0,5.709764546333749,5.374352052824034
A D C C Infracon Pvt. Ltd.,2019,0.23,0.03,0.07,1.11,0.26,0.81,0.77,18.52,18.98,0.03,14.29,20.53,19.44,7.95,-42.08,0,5.723585101952381,4.8283137373023015
A D C C Infracon Pvt. Ltd.,2020,0.23,0.03,0.07,1.11,0.26,0.81,0.77,18.52,18.98,0.03,14.29,20.53,19.44,7.95,-42.08,0,5.723585101952381,4.8283137373023015
A D C C Infracon Pvt. Ltd.,2021,0.23,0.03,0.07,1.11,0.26,0.81,0.77,18.52,18.98,0.03,14.29,20.53,19.44,7.95,-42.08,0,5.723585101952381,4.8283137373023015
A P A Engineering Pvt. Ltd.,2008,1.25,0.11,0.35,7.85,0.07,17.8,5.45,2.64,2.89,1.05,14.37,20.71,3.89,6.31,6.59,0,4.946629964120343,5.738827816399001
A P A Engineering Pvt. Ltd.,2009,1.25,0.11,0.35,7.85,0.07,17.8,5.45,2.64,2.89,1.05,14.37,20.71,3.89,6.31,6.59,0,4.946629964120343,5.738827816399001
A P A Engineering Pvt. Ltd.,2010,1.3166666666666667,0.07333333333333333,0.23333333333333334,5.2333333333333325,0.065,37.706,3.6333333333333337,1.8800000000000001,2.2133333333333334,1.1266666666666667,9.856666666666666,14.083333333333332,3.73,4.326666666666666,11.66,0,4.94449549159171,5.891920416771596
A P A Engineering Pvt. Ltd.,2011,1.3833333333333333,0.03666666666666667,0.11666666666666667,2.6166666666666663,0.06,57.611999999999995,1.8166666666666669,1.12,1.5366666666666666,1.2033333333333334,5.343333333333334,7.456666666666665,3.5700000000000003,2.3433333333333333,16.73,0,4.942356453342962,6.024657514463746
A P A Engineering Pvt. Ltd.,2012,1.45,0.0,0.0,0.0,0.02,77.518,0.0,0.12,0.86,1.28,0.83,0.83,3.41,0.36,21.8,0,4.94306997460049,6.141822328696539
A P A Engineering Pvt. Ltd.,2013,1.38,0.0,0.0,7.91,0.14,97.42399999999999,7.91,1.76,2.57,1.06,13.94,13.94,3.25,5.84,26.87,0,5.143416405330075,6.2466879918856035
A P A Engineering Pvt. Ltd.,2014,1.33,0.02,0.06,8.27,-0.03,117.33,8.0,3.63,5.05,0.86,29.61,30.6,4.52,11.34,31.94,0,5.609838028479659,6.523855948788533
A P A Engineering Pvt. Ltd.,2015,1.61,0.04,0.09,8.68,-0.01,136.0,8.04,3.55,5.32,1.28,28.65,30.93,6.04,12.58,48.36,0,5.701780471985528,6.918299492857808
A P A Engineering Pvt. Ltd.,2016,1.6,0.07,0.15,6.8,0.03,76.29,6.05,3.27,4.9,1.34,19.91,22.37,4.99,10.09,5.84,0,5.987205490187598,6.975040025787734
A P A Engineering Pvt. Ltd.,2017,1.64,0.0,0.0,6.21,0.07,62.0,5.8,2.15,3.17,1.43,12.55,13.42,3.45,6.1,7.67,0,6.0364379127507135,7.048907558738021
A P A Engineering Pvt. Ltd.,2018,1.67,0.05,0.11,6.72,0.02,502.0,6.35,2.56,3.53,1.47,16.34,17.29,3.57,7.99,21.46,0,6.179188153190932,7.243298512785258
A P A Engineering Pvt. Ltd.,2019,1.96,0.0,0.01,5.56,0.19,140.6,5.27,3.71,4.82,1.77,19.67,20.75,5.46,10.4,-5.39,0,6.1463292576688975,7.187883895779004
A P A Engineering Pvt. Ltd.,2020,1.96,0.0,0.01,5.56,0.19,140.6,5.27,3.71,4.82,1.77,19.67,20.75,5.46,10.4,-5.39,0,6.1463292576688975,7.187883895779004
A P A Engineering Pvt. Ltd.,2021,1.96,0.0,0.01,5.56,0.19,140.6,5.27,3.71,4.82,1.77,19.67,20.75,5.46,10.4,-5.39,0,6.1463292576688975,7.187883895779004
A P L Infotech Ltd.,2005,37.33,0.03,0.04,0.0,0.01,,0.0,,,0.0,-0.86,-0.91,,-0.85,,0,2.4932054526026954,
A P L Infotech Ltd.,2006,0.67,0.49,1.05,0.0,0.47,,0.0,,-200.0,0.67,-5.29,-8.14,,-5.16,,0,3.152736022363656,
A P L Infotech Ltd.,2007,2.25,0.64,1.85,0.0,0.04,1.0,0.0,,-181.818,2.25,0.0,0.0,,0.0,,0,3.459466289786131,
A P L Infotech Ltd.,2008,0.32,0.61,2.35,0.0,0.06,1.0,0.0,,-163.636,0.32,0.0,0.0,,0.0,,0,3.751854253275325,
A P L Infotech Ltd.,2009,0.17,0.59,2.65,0.0,0.07,1.0,0.0,,-145.454,0.17,0.0,0.0,,0.0,,0,3.903990833730882,
A P L Infotech Ltd.,2010,0.27,0.7,3.73,0.0,-0.05,1.0,0.0,,-127.272,0.27,0.0,0.0,,0.0,,0,4.065602093356446,
A P L Infotech Ltd.,2011,0.07,0.76,6.0,0.22,0.11,0.72,0.04,-109.09,-109.09,0.07,-4.28,-24.49,295.45,-3.8,,0,4.21803603456465,0.7884573603642703
A P L Infotech Ltd.,2012,0.06,0.74,6.71,0.0,0.13,1.0,0.0,-109.09,-109.09,0.06,0.0,0.0,295.45,0.0,,0,4.360547602996758,0.7884573603642703
A P L Infotech Ltd.,2013,0.04,0.83,8.88,0.0,0.2,1.0,0.0,-109.09,-109.09,0.04,0.0,0.0,295.45,0.0,,0,4.519612297626445,0.7884573603642703
A P L Infotech Ltd.,2014,0.04,0.84,10.41,0.0,0.19,1.0,0.0,-109.09,-109.09,0.04,0.0,0.0,295.45,0.0,,0,4.671893818030999,0.7884573603642703
A P L Infotech Ltd.,2015,0.01,0.91,12.5,0.0,-0.2,1.0,0.0,-109.09,-109.09,0.01,0.0,0.0,295.45,0.0,,0,4.7664383335842135,0.7884573603642703
A P L Infotech Ltd.,2016,0.12,0.93,15.19,0.0,0.04,1.0,0.0,-109.09,-109.09,0.02,0.0,0.0,295.45,0.0,,0,4.944495491591711,0.7884573603642703
A P L Infotech Ltd.,2017,0.09,0.94,18.01,0.0,0.16,1.0,0.0,-109.09,-109.09,0.02,0.0,0.0,295.45,0.0,,0,5.104125637183595,0.7884573603642703
A P L Infotech Ltd.,2018,0.06,0.95,21.23,0.0,0.16,1.0,0.0,-109.09,-109.09,0.0,0.0,0.0,295.45,0.0,,0,5.260096153727839,0.7884573603642703
A P L Infotech Ltd.,2019,3.33,0.76,10.04,0.0,0.03,1.0,0.0,-109.09,-109.09,0.17,0.0,0.0,295.45,0.0,,0,5.214935757608986,0.7884573603642703
A P L Infotech Ltd.,2020,3.33,0.76,10.04,0.0,0.03,1.0,0.0,-109.09,-109.09,0.17,0.0,0.0,295.45,0.0,,0,5.214935757608986,0.7884573603642703
A P L Infotech Ltd.,2021,3.33,0.76,10.04,0.0,0.03,1.0,0.0,-109.09,-109.09,0.17,0.0,0.0,295.45,0.0,,0,5.214935757608986,0.7884573603642703
A S M Technologies Ltd.,2000,1.21,0.32,0.81,3.52,0.2,1.13,1.83,0.47,0.38,1.0,0.97,1.86,5.05,0.76,106.77,0,5.01926462079431,5.336576078665127
A S M Technologies Ltd.,2001,0.97,0.32,0.9,2.21,0.09,2.96,1.19,-9.14,-8.16,0.79,-11.45,-21.2,9.59,-8.12,-38.79,0,5.01926462079431,4.845760650906022
A S M Technologies Ltd.,2002,0.72,0.34,1.35,1.24,0.02,4.789999999999999,0.6,-66.84,-34.44,0.68,-41.43,-86.06,-23.43,-26.53,-56.05,0,4.955827057601261,4.023564380161053
A S M Technologies Ltd.,2003,0.9,0.47,2.68,2.57,0.06,6.619999999999999,0.9,-25.98,-15.57,0.9,-23.61,-67.69,-1.85,-14.59,35.42,0,4.872904620630176,4.3267781604434035
A S M Technologies Ltd.,2004,1.07,0.46,1.78,6.98,0.17,8.45,2.19,3.05,9.11,1.07,6.73,21.4,14.1,4.56,136.99,0,4.705015520957808,5.1896179496246955
A S M Technologies Ltd.,2005,1.6,0.47,1.5,7.09,0.02,6.66,2.72,6.16,6.93,1.6,16.92,44.11,9.82,12.8,44.2,0,4.9494688588587685,5.5556690891919835
A S M Technologies Ltd.,2006,1.46,0.37,1.09,5.91,0.1,5.67,2.6,3.98,8.88,1.46,10.54,23.94,10.85,7.83,15.42,0,5.123368564083496,5.69910488510509
A S M Technologies Ltd.,2007,1.39,0.26,0.66,5.53,0.05,6.61,3.03,9.01,11.24,1.39,27.73,50.65,13.23,18.65,34.93,0,5.4289069362516384,5.998688392197302
A S M Technologies Ltd.,2008,1.47,0.28,0.63,4.4,0.06,5.49,2.68,8.13,9.94,1.47,21.91,35.98,13.52,15.13,14.74,0,5.605066501717044,6.1362140309941795
A S M Technologies Ltd.,2009,1.64,0.18,0.36,3.18,0.09,5.85,2.15,8.42,9.1,1.64,18.2,26.96,12.53,12.9,-7.44,0,5.674010316322531,6.0588895234227715
A S M Technologies Ltd.,2010,1.49,0.14,0.27,3.56,0.2,7.24,2.72,10.62,13.1,1.49,29.11,38.05,16.54,19.33,45.66,0,5.986452005284438,6.435027943814805
A S M Technologies Ltd.,2011,1.72,0.24,0.44,3.08,0.03,7.31,2.26,9.98,13.75,1.7,23.09,31.52,15.22,16.57,14.13,0,6.175659348283617,6.567234859514355
