Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log_assets,Log_sales
A B M Knowledgeware Ltd.,2004,3.85,0.03,0.04,0.63,0.0,12.15,0.58,1.69,2.87,3.85,1.01,1.1,5.54,0.84,3.21,0,4.751000634199631,4.056988775678332
A B M Knowledgeware Ltd.,2005,6.66,0.08,0.09,0.58,-0.07,8.8,0.55,4.32,7.01,6.65,2.43,2.59,22.04,2.11,-6.57,0,4.71760561531788,3.9889840465642745
A B M Knowledgeware Ltd.,2006,1.52,0.05,0.08,1.97,0.08,43.0,1.81,6.21,10.5,1.52,11.39,12.38,14.91,8.27,253.89,0,5.183467524869095,5.252796851246227
A B M Knowledgeware Ltd.,2007,2.16,0.0,0.0,2.42,0.12,57.416666666666664,2.35,19.92,30.36,2.16,47.45,48.99,32.56,28.26,62.48,0,5.583872177983643,5.738183901373533
A B M Knowledgeware Ltd.,2008,1.77,0.0,0.0,2.45,0.41,71.83333333333333,2.45,13.17,20.01,1.77,32.81,32.81,19.25,17.38,42.38,0,6.028760331851679,6.091536100832197
A B M Knowledgeware Ltd.,2009,2.38,0.0,0.0,1.81,0.03,86.25,1.81,15.87,23.63,2.38,29.5,29.5,22.84,16.47,-4.55,0,6.038109554931026,6.045005314036012
A B M Knowledgeware Ltd.,2010,1.83,0.0,0.0,1.9,-0.13,1583.0,1.89,17.93,26.84,1.83,34.53,34.6,26.33,20.98,37.42,0,6.377746835799372,6.362855674882395
A B M Knowledgeware Ltd.,2011,2.66,0.0,0.0,2.44,0.08,2272.0,2.44,15.01,21.79,2.66,37.03,37.09,22.17,24.15,75.39,0,6.5391523356065395,6.924710719631551
A B M Knowledgeware Ltd.,2012,3.88,0.0,0.0,1.38,0.05,929.5,1.38,16.68,24.59,3.82,23.37,23.37,25.93,17.33,-26.83,0,6.633581556555148,6.612309815912522
A B M Knowledgeware Ltd.,2013,2.82,0.0,0.0,1.24,0.07,1050.5,1.24,17.44,26.38,2.82,22.0,22.0,26.2,16.34,8.84,0,6.906954958811368,6.697034247666484
A B M Knowledgeware Ltd.,2014,3.16,0.0,0.0,1.15,0.07,1171.5,1.15,18.39,28.46,3.16,21.49,21.49,29.46,15.93,11.99,0,7.029087564149662,6.810252697620898
A B M Knowledgeware Ltd.,2015,7.11,0.0,0.0,0.93,0.25,1292.5,0.93,19.86,30.12,7.11,18.8,18.8,31.84,15.6,-4.02,0,7.029087564149662,6.769182629118197
A B M Knowledgeware Ltd.,2016,2.21,0.0,0.0,0.93,0.08,1413.5,0.93,16.3,25.08,2.2,15.63,15.63,25.77,11.55,25.97,0,7.624716637641337,7.000060949766163
A B M Knowledgeware Ltd.,2017,3.11,0.0,0.0,0.51,-0.09,1413.5,0.51,19.4,25.98,2.98,10.29,10.29,27.38,7.14,-34.69,0,7.589133475942083,6.574099073620405
A B M Knowledgeware Ltd.,2018,6.48,0.0,0.0,0.42,0.24,1413.5,0.42,23.05,32.37,5.81,10.34,10.34,33.57,8.16,-10.26,0,7.532837728627953,6.465833633863357
A B M Knowledgeware Ltd.,2019,4.62,0.0,0.0,0.44,0.04,1413.5,0.44,20.22,24.99,4.09,9.46,9.46,23.69,7.8,11.98,0,7.638342742515928,6.5789733956449306
A B M Knowledgeware Ltd.,2020,4.82,0.0,0.0,0.49,0.13,1413.5,0.49,21.49,28.4,4.51,11.03,11.03,27.26,8.95,19.52,0,7.739141503765848,6.757281165627302
A B M Knowledgeware Ltd.,2021,4.82,0.0,0.0,0.49,0.13,1413.5,0.49,21.49,28.4,4.51,11.03,11.03,27.26,8.95,19.52,0,7.739141503765848,6.757281165627302
A S M Technologies Ltd.,2000,1.21,0.32,0.81,3.52,0.2,1.13,1.83,0.47,0.38,1.0,0.97,1.86,5.05,0.76,106.77,0,5.01926462079431,5.336576078665127
A S M Technologies Ltd.,2001,0.97,0.32,0.9,2.21,0.09,2.96,1.19,-9.14,-8.16,0.79,-11.45,-21.2,9.59,-8.12,-38.79,0,5.01926462079431,4.845760650906022
A S M Technologies Ltd.,2002,0.72,0.34,1.35,1.24,0.02,4.789999999999999,0.6,-66.84,-34.44,0.68,-41.43,-86.06,-23.43,-26.53,-56.05,0,4.955827057601261,4.023564380161053
A S M Technologies Ltd.,2003,0.9,0.47,2.68,2.57,0.06,6.619999999999999,0.9,-25.98,-15.57,0.9,-23.61,-67.69,-1.85,-14.59,35.42,0,4.872904620630176,4.3267781604434035
A S M Technologies Ltd.,2004,1.07,0.46,1.78,6.98,0.17,8.45,2.19,3.05,9.11,1.07,6.73,21.4,14.1,4.56,136.99,0,4.705015520957808,5.1896179496246955
A S M Technologies Ltd.,2005,1.6,0.47,1.5,7.09,0.02,6.66,2.72,6.16,6.93,1.6,16.92,44.11,9.82,12.8,44.2,0,4.9494688588587685,5.5556690891919835
A S M Technologies Ltd.,2006,1.46,0.37,1.09,5.91,0.1,5.67,2.6,3.98,8.88,1.46,10.54,23.94,10.85,7.83,15.42,0,5.123368564083496,5.69910488510509
A S M Technologies Ltd.,2007,1.39,0.26,0.66,5.53,0.05,6.61,3.03,9.01,11.24,1.39,27.73,50.65,13.23,18.65,34.93,0,5.4289069362516384,5.998688392197302
A S M Technologies Ltd.,2008,1.47,0.28,0.63,4.4,0.06,5.49,2.68,8.13,9.94,1.47,21.91,35.98,13.52,15.13,14.74,0,5.605066501717044,6.1362140309941795
A S M Technologies Ltd.,2009,1.64,0.18,0.36,3.18,0.09,5.85,2.15,8.42,9.1,1.64,18.2,26.96,12.53,12.9,-7.44,0,5.674010316322531,6.0588895234227715
A S M Technologies Ltd.,2010,1.49,0.14,0.27,3.56,0.2,7.24,2.72,10.62,13.1,1.49,29.11,38.05,16.54,19.33,45.66,0,5.986452005284438,6.435027943814805
A S M Technologies Ltd.,2011,1.72,0.24,0.44,3.08,0.03,7.31,2.26,9.98,13.75,1.7,23.09,31.52,15.22,16.57,14.13,0,6.175659348283617,6.567234859514355
A S M Technologies Ltd.,2012,1.88,0.23,0.41,3.05,0.06,7.0,2.14,9.73,13.34,1.87,21.27,30.24,15.21,16.84,27.38,0,6.375024819828097,6.809260032233038
A S M Technologies Ltd.,2013,1.87,0.26,0.48,2.78,-0.03,7.35,1.92,9.27,13.1,1.87,18.17,26.29,14.7,14.7,15.22,0,6.6293632534374485,6.950910549296065
A S M Technologies Ltd.,2014,1.74,0.28,0.52,2.44,0.02,4.49,1.63,8.7,10.32,1.27,14.35,21.56,15.27,11.74,4.8,0,6.78975972074443,6.997778781629726
A S M Technologies Ltd.,2015,2.08,0.18,0.3,1.2,0.0,0.42,0.86,-4.12,23.61,0.82,-3.67,-5.16,0.81,-2.95,-42.38,0,6.847686752516018,6.446513155404975
A S M Technologies Ltd.,2016,12.39,0.01,0.01,1.36,0.38,9.63,1.17,9.12,13.07,8.36,10.79,12.57,15.5,8.2,17.68,0,6.596053700686136,6.60934924316738
A S M Technologies Ltd.,2017,4.95,0.1,0.15,1.45,0.01,33.45,1.33,4.67,9.16,3.67,6.38,6.9,9.0,4.69,2.68,0,6.707839853787134,6.635815313478964
A S M Technologies Ltd.,2018,4.0,0.11,0.16,1.4,0.01,13.92,1.22,7.39,11.55,2.86,9.41,10.86,9.27,7.16,1.29,0,6.743352222690527,6.648595873463558
A S M Technologies Ltd.,2019,3.35,0.16,0.27,1.49,-0.11,3.44,1.23,1.24,2.78,2.23,1.6,1.93,3.91,1.23,8.64,0,6.832169292025542,6.731495313566778
A S M Technologies Ltd.,2020,2.53,0.21,0.38,1.87,0.09,10.5,1.41,11.49,14.74,1.81,16.73,22.18,16.27,12.77,35.04,0,7.068001628124234,7.03191792160256
A S M Technologies Ltd.,2021,2.53,0.21,0.38,1.87,0.09,10.5,1.41,11.49,14.74,1.81,16.73,22.18,16.27,12.77,35.04,0,7.068001628124234,7.03191792160256
Accedere Ltd.,2002,19.19,0.0,0.0,0.08,0.006666666666666667,,0.08,0.0,0.0,19.19,,,7.159999999999999,,-8.11,0,3.75497925581846,1.3173014896329391
Accedere Ltd.,2003,16.77,0.0,0.0,0.09,0.013333333333333334,,0.08,0.0,0.0,16.77,,,6.21,,2.94,0,3.7463618895272988,1.3261904370501851
Accedere Ltd.,2004,53.0,0.0,0.0,0.09,0.02,,0.09,0.0,0.0,53.0,0.0,0.0,5.26,0.0,8.57,0,3.7376696182833684,1.33500106673234
Accedere Ltd.,2005,73.2,0.0,0.0,0.02,0.015,,0.02,0.0,0.0,73.2,0.0,0.0,7.39,0.0,-73.68,0,3.744787086052232,1.0818051703517284
Accedere Ltd.,2006,28.23,0.0,0.0,0.05,0.01,,0.05,0.0,0.0,28.23,0.0,0.0,9.52,0.0,110.0,0,3.751854253275325,0.7419373447293773
Accedere Ltd.,2007,366.0,0.0,0.0,0.07,0.0,,0.07,0.0,3.7,366.0,0.0,0.0,7.41,0.0,28.57,0,3.7256934272366524,0.9932517730102834
Accedere Ltd.,2008,367.0,0.0,0.0,0.05,0.0,,0.05,0.0,5.26,367.0,0.0,0.0,5.26,0.0,-29.63,0,3.7256934272366524,0.6418538861723947
Accedere Ltd.,2009,366.0,0.0,0.0,0.02,-0.02,,0.02,0.0,0.0,366.0,0.0,0.0,10.0,0.0,-47.37,0,3.7256934272366524,0.0
Accedere Ltd.,2010,390.0,0.0,0.0,0.02,-0.01,,0.02,1.135,0.0,366.0,0.12,0.12,7.275,0.115,-10.0,0,3.751854253275325,0.9932517730102834
Accedere Ltd.,2011,87.2,0.0,0.0,0.1,0.0,,0.1,2.27,0.0,73.8,0.24,0.24,4.55,0.23,388.89,0,3.7773481021015445,1.4816045409242156
Accedere Ltd.,2012,40.89,0.0,0.0,0.04,0.0,,0.04,0.0,0.0,40.89,0.0,0.0,6.25,0.0,-63.64,0,3.7864597824528,0.47000362924573563
Accedere Ltd.,2013,23.44,0.01,0.01,0.01,0.0,,0.01,0.0,0.0,23.44,0.0,0.0,20.0,0.0,-68.75,0,3.8022081394209395,-0.6931471805599453
Accedere Ltd.,2014,22.12,0.01,0.01,0.03,0.0,,0.03,0.0,0.0,22.12,0.0,0.0,36.36,0.0,120.0,0,3.8044377947482086,0.09531017980432493
Accedere Ltd.,2015,23.44,0.01,0.01,0.02,0.0,,0.02,0.0,0.0,23.44,0.0,0.0,42.86,0.0,-36.36,0,3.8022081394209395,-0.35667494393873245
Accedere Ltd.,2016,62.67,0.02,0.03,0.01,-0.01,,0.01,-380.0,-380.0,62.67,-4.41,-4.5,60.0,-4.24,-28.57,0,3.8044377947482086,-0.6931471805599453
Accedere Ltd.,2017,17.59,0.01,0.01,0.16,0.04,,0.16,3.03,3.03,17.59,0.47,0.48,34.85,0.44,1220.0,0,3.8308129500026027,1.8870696490323797
Accedere Ltd.,2018,8.51,0.01,0.01,0.37,0.16,,0.36,1.9,2.53,8.51,0.71,0.72,16.99,0.63,131.82,0,3.885679030088544,2.72785282839839
Accedere Ltd.,2019,8.71,0.0,0.0,0.18,0.07,,0.18,-3.75,-5.0,8.71,-0.71,-0.72,25.97,-0.63,-49.67,0,3.8501476017100584,2.0412203288596382
Accedere Ltd.,2020,8.54,0.0,0.0,0.13,0.17,1.0,0.13,1.75,1.72,8.54,0.24,0.24,34.55,0.22,-28.57,0,3.8264651170664994,1.7047480922384253
Accedere Ltd.,2021,8.54,0.0,0.0,0.13,0.17,1.0,0.13,1.75,1.72,8.54,0.24,0.24,34.55,0.22,-28.57,0,3.8264651170664994,1.7047480922384253
Ace Software Exports Ltd.,2000,1.76,0.03,0.03,0.67,0.12,,0.63,26.1,26.67,1.08,16.74,17.83,35.14,14.86,32.82,0,4.625952725170619,3.9473901492654373
Ace Software Exports Ltd.,2001,2.59,0.0,0.0,0.61,0.12,,0.6,17.86,18.21,1.92,11.26,11.45,23.92,10.01,2.51,0,4.617098756853365,3.9721769282478934
Ace Software Exports Ltd.,2002,4.0,0.03,0.03,0.44,-0.02,,0.43,11.85,14.29,2.78,5.62,5.72,20.14,5.34,-20.53,0,4.674696248636701,3.742420221041966
Ace Software Exports Ltd.,2003,4.14,0.0,0.0,0.42,0.06,,0.42,13.45,14.23,3.4,6.6,6.7,11.24,6.27,3.32,0,4.740574822994295,3.775057150354989
Ace Software Exports Ltd.,2004,2.3,0.05,0.06,0.54,0.3,,0.53,15.02,17.04,2.04,8.39,8.63,17.6,7.89,35.55,0,4.826712455935327,4.079230924412053
Ace Software Exports Ltd.,2005,3.03,0.03,0.04,0.44,-0.03,,0.42,12.08,12.64,2.0,5.43,5.68,13.68,5.09,-15.91,0,4.845760650906022,3.906004933102583
Ace Software Exports Ltd.,2006,3.13,0.03,0.03,0.39,-0.04,,0.38,8.21,9.31,2.68,3.7,3.83,-0.22,3.46,-8.85,0,4.848116364598481,3.8133070324889884
Ace Software Exports Ltd.,2007,2.6,0.03,0.03,0.25,-0.15,,0.24,35.59,36.34,2.41,20.96,21.61,-20.2,19.64,-32.23,0,4.979488565099419,3.4242626545931514
Ace Software Exports Ltd.,2008,5.33,0.0,0.0,0.2,-0.14,,0.2,12.6,13.59,4.38,3.58,3.63,-10.41,3.41,-12.38,0,4.953712146696635,3.292126286607793
Ace Software Exports Ltd.,2009,12.53,0.0,0.0,0.14,0.15,,0.14,-7.84,-8.63,11.86,-1.46,-1.46,-40.21,-1.43,-29.74,0,4.9344739331306915,2.9391619220655967
Ace Software Exports Ltd.,2010,13.48,0.0,0.0,0.13,-0.12,30.0,0.13,8.98,8.98,8.27,2.12,2.12,-58.43,2.05,-5.82,0,4.973279507552487,2.8791984572980396
Ace Software Exports Ltd.,2011,12.33,0.0,0.0,0.19,0.04,25.5,0.19,11.04,11.04,7.35,2.64,2.64,-4.85,2.53,50.56,0,4.995183189537334,3.288401887516811
Ace Software Exports Ltd.,2012,8.86,0.01,0.01,0.27,0.01,21.0,0.27,8.72,8.95,5.93,2.69,2.71,5.44,2.61,44.03,0,5.021904886354487,3.653252276470785
Ace Software Exports Ltd.,2013,6.29,0.0,0.0,0.32,0.0,63.0,0.32,11.01,11.19,2.41,4.07,4.1,1.68,3.94,23.58,0,5.0632277442154265,3.8649313978942956
Ace Software Exports Ltd.,2014,2.75,0.0,0.0,0.39,0.045,21.0,0.39,12.02,6.03,0.48,5.5600000000000005,5.58,5.77,5.26,25.37,0,5.124856438186279,4.165113633110308
Ace Software Exports Ltd.,2015,3.06,0.0,0.0,0.5,0.09,116.0,0.5,13.03,13.24,1.19,7.05,7.06,9.86,6.58,35.62,0,5.182906515036709,4.395682961121367
Ace Software Exports Ltd.,2016,4.93,0.0,0.0,0.49,0.06,123.0,0.49,11.17,13.46,3.02,5.91,5.92,10.6,5.6,4.69,0,5.297316866214453,4.441474093317302
Ace Software Exports Ltd.,2017,3.31,0.0,0.0,0.48,0.0,129.0,0.48,12.21,13.02,1.91,6.55,6.55,6.27,6.13,3.3,0,5.38081858805978,4.473921899378137
Ace Software Exports Ltd.,2018,3.95,0.0,0.0,0.42,-0.04,76.5,0.42,7.64,7.64,0.9,3.74,3.74,-3.83,3.49,-7.64,0,5.384953673207583,4.394449154672439
Ace Software Exports Ltd.,2019,4.42,0.01,0.02,0.41,-0.17,24.0,0.4,2.76,-24.58,0.4,1.23,1.24,-4.26,1.16,-7.28,0,5.244916589820922,4.318820558770089
Ace Software Exports Ltd.,2020,5.45,0.0,0.0,0.5,-0.01,24.0,0.49,-0.34,-7.75,0.49,-0.17,-0.18,0.35,-0.16,13.18,0,5.235377566774162,4.442651256490317
Ace Software Exports Ltd.,2021,5.45,0.0,0.0,0.5,-0.01,24.0,0.49,-0.34,-7.75,0.49,-0.17,-0.18,0.35,-0.16,13.18,0,5.235377566774162,4.442651256490317
Adroit Infotech Ltd.,2000,1.19,0.0,0.0,0.07,0.19,,0.07,-102.91,-102.91,1.14,-11.26,-11.26,-148.53,-10.76,,0,4.563305981889393,1.916922612182061
Adroit Infotech Ltd.,2001,1.4,0.0,0.0,0.07,-0.07,,0.07,-127.4,-193.15,0.28,-10.77,-10.77,-34.38,-9.88,-5.88,0,4.539030383483547,1.8562979903656263
Adroit Infotech Ltd.,2002,2.37,0.0,0.0,0.37,-0.11,,0.37,-7.98,-15.64,2.24,-2.97,-2.97,12.58,-2.61,409.37,0,4.670021158307708,3.484312288372662
Adroit Infotech Ltd.,2003,2.37,0.0,0.0,0.37,-0.11,,0.37,-7.98,-15.64,2.24,-2.97,-2.97,12.58,-2.61,409.37,0,4.670021158307708,3.484312288372662
Adroit Infotech Ltd.,2004,2.165,0.0,0.0,0.49,0.0,,0.49,6.47,-4.23,1.2650000000000001,-0.355,-0.355,13.07,-0.48,200.435,0,5.1310814471721224,4.695010889987881
Adroit Infotech Ltd.,2005,1.96,0.0,0.0,0.61,0.05,73.0,0.61,3.69,7.18,0.29,2.26,2.26,17.38,1.65,-8.5,0,5.633360010359655,4.6061696863211745
Adroit Infotech Ltd.,2006,1.37,0.01,0.02,0.04,-0.16,58.666,0.04,-595.65,-291.67,0.15,-30.88,-31.11,-280.82,-20.1,-92.71,0,5.586874056410478,1.9878743481543455
Adroit Infotech Ltd.,2007,1.59,0.0,0.01,0.01,0.0,44.332,0.01,-675.0,-833.33,0.25,-5.41,-5.47,-175.0,-3.4,-83.56,0,5.351858133476067,0.1823215567939546
Adroit Infotech Ltd.,2008,1.81,0.03,0.04,0.0,-0.02,29.998000000000005,0.0,-314.29,-371.43,0.2,-1.52,-1.55,28.57,-0.99,-41.67,0,5.4608612957333165,-0.35667494393873245
Adroit Infotech Ltd.,2009,1.63,0.0,0.0,0.0,0.02,15.664000000000001,0.0,-2400.0,-2400.0,0.18,-1.69,-1.72,61.785000000000004,-1.02,3.8866666666666703,0,5.4693251634417175,0.30010459245033816
Adroit Infotech Ltd.,2010,99.87,0.0,0.0,0.01,0.0,1.33,0.01,5.0,5.0,10.38,0.07,0.07,95.0,0.04,49.44333333333334,0,5.469746482175568,0.6931471805599453
Adroit Infotech Ltd.,2011,74.44,0.0,0.0,0.05,-0.03,13.064,0.05,-2341.03,-4010.26,10.75,-120.29,-120.29,-2305.13,-45.34,95.0,0,5.107762004826979,1.3609765531356006
Adroit Infotech Ltd.,2012,59.3,0.0,0.0,0.05,-0.02,24.798000000000002,0.05,-65.85,-53.66,8.74,-3.11,-3.11,-21.95,-1.64,5.13,0,5.095588999976419,1.410986973710262
Adroit Infotech Ltd.,2013,58.52,0.0,0.0,0.0,0.0,36.532,0.0,-375.0,-375.0,7.96,-0.94,-0.94,-100.0,-0.92,-90.24,0,5.086361004624392,-0.916290731874155
Adroit Infotech Ltd.,2014,31.84,0.2,0.26,0.62,0.13,48.266,0.55,-0.1,-3.83,21.93,-0.06,-0.06,13.46,-0.06,24050.0,0,5.27556037942542,4.570578741218473
Adroit Infotech Ltd.,2015,17.49,0.0,0.0,0.63,0.26,60.0,0.56,22.09,21.99,17.49,12.5,13.95,23.89,12.22,10.04,0,5.259576538231606,4.666265285347902
Adroit Infotech Ltd.,2016,15.82,0.0,0.0,0.2,0.01,146.0,0.2,31.62,33.96,15.82,6.55,6.55,36.34,6.3,-60.4,0,5.4638318050256105,3.7400477406883357
Adroit Infotech Ltd.,2017,1.8,0.04,0.06,1.02,-0.09,14.37,0.99,8.78,11.21,1.78,8.72,8.98,14.24,7.03,435.63,0,5.800304041646823,5.418320158942733
Adroit Infotech Ltd.,2018,1.29,0.11,0.18,0.68,0.25,9.98,0.61,-8.78,-9.19,1.28,-5.38,-6.02,-5.28,-3.8,-36.14,0,5.8377304471659395,4.969813299576001
Adroit Infotech Ltd.,2019,0.42,0.33,0.9,0.6,0.01,5.59,0.44,-174.63,-175.86,0.42,-78.4,-105.75,9.73,-55.13,-44.31,0,5.159055299214529,4.384523514872469
Adroit Infotech Ltd.,2020,0.63,0.31,0.71,0.98,-0.14,1.2,0.54,0.0,0.42,0.62,0.0,0.0,33.01,0.0,-22.94,0,4.98292145552874,4.123903364463645
Adroit Infotech Ltd.,2021,0.63,0.31,0.71,0.98,-0.14,1.2,0.54,0.0,0.42,0.62,0.0,0.0,33.01,0.0,-22.94,0,4.98292145552874,4.123903364463645
Aftek Ltd.,2000,11.95,0.0,0.0,0.51,0.16,661.5,0.51,49.5,51.67,11.94,28.01,28.03,48.56,26.54,137.25,0,6.99117688712121,6.118317438103905
Aftek Ltd.,2001,21.05,0.0,0.0,0.53,0.18,293.83,0.53,50.63,51.41,21.01,29.3,29.3,50.3,27.59,35.54,0,7.239071388453979,6.4224349456245085
Aftek Ltd.,2002,6.69,0.0,0.0,0.52,0.16,78.65,0.52,40.0,42.89,6.67,21.7,21.75,52.71,20.22,56.44,0,7.859721987308762,6.869949564246238
Aftek Ltd.,2003,17.72,0.0,0.0,0.54,0.19,149.16,0.54,33.47,33.67,17.69,18.32,18.35,44.88,17.32,44.29,0,7.972638414906119,7.236627278258781
Aftek Ltd.,2004,15.49,0.27,0.39,0.64,0.15,139.16,0.53,30.14,29.71,15.48,16.25,19.72,45.26,15.52,40.52,0,8.484731981260856,7.576814664012993
Aftek Ltd.,2005,10.89,0.09,0.11,0.48,0.08,118.02,0.39,33.15,33.33,10.88,13.55,16.59,37.34,12.75,-1.0,0,8.659768563687676,7.566776744812707
Aftek Ltd.,2006,11.37,0.06,0.07,0.62,0.15,112.83,0.57,26.55,27.21,11.37,15.62,16.98,32.23,14.72,72.03,0,8.785845337961213,8.109285101656933
Aftek Ltd.,2007,7.86,0.1,0.12,0.64,0.13,84.14,0.58,17.73,22.74,7.85,10.43,11.43,35.41,9.72,18.05,0,8.98281222234415,8.27524901063831
Aftek Ltd.,2008,16.12,0.12,0.14,0.34,0.08,33.14,0.3,36.7,-3.17,16.11,15.85,17.95,36.99,14.81,-43.87,0,8.939843124278502,7.697756900905965
Aftek Ltd.,2009,18.28,0.14,0.18,0.29,0.15,1.76,0.25,-0.16,2.15,18.23,-0.04,-0.05,68.98,-0.04,-17.39,0,8.987096815661639,7.506756601651853
Aftek Ltd.,2010,4.55,0.21,0.3,0.29,0.2,2.56,0.23,7.96,8.86,4.53,2.03,2.5,67.62,1.88,-14.93,0,8.769895544971991,7.345106575952623
Aftek Ltd.,2011,0.79,0.23,0.34,0.27,0.2,1.52,0.21,3.0,7.81,0.79,0.81,1.06,86.28,0.74,-21.71,0,8.7792651054612,7.100357145183648
